country,lat,long,date,cases,type
Estonia,58.5953,25.0136,2020-01-22,0,confirmed
Eswatini,-26.5225,31.4659,2020-01-22,0,confirmed
Ethiopia,9.145,40.4897,2020-01-22,0,confirmed
Fiji,-17.7134,178.065,2020-01-22,0,confirmed
Finland,61.92411,25.748151,2020-01-22,0,confirmed
France,3.9339,-53.1258,2020-01-22,0,confirmed
France,-17.6797,149.4068,2020-01-22,0,confirmed
France,16.265,-61.551,2020-01-22,0,confirmed
France,14.6415,-61.0242,2020-01-22,0,confirmed
France,-12.8275,45.166244,2020-01-22,0,confirmed
France,-20.904305,165.618042,2020-01-22,0,confirmed
France,-21.1151,55.5364,2020-01-22,0,confirmed
France,17.9,-62.8333,2020-01-22,0,confirmed
France,46.8852,-56.3159,2020-01-22,0,confirmed
France,18.0708,-63.0501,2020-01-22,0,confirmed
France,46.2276,2.2137,2020-01-22,0,confirmed
Gabon,-0.8037,11.6094,2020-01-22,0,confirmed
Gambia,13.4432,-15.3101,2020-01-22,0,confirmed
Georgia,42.3154,43.3569,2020-01-22,0,confirmed
Germany,51.165691,10.451526,2020-01-22,0,confirmed
Ghana,7.9465,-1.0232,2020-01-22,0,confirmed
Greece,39.0742,21.8243,2020-01-22,0,confirmed
Grenada,12.1165,-61.679,2020-01-22,0,confirmed
Guatemala,15.7835,-90.2308,2020-01-22,0,confirmed
Guinea,9.9456,-9.6966,2020-01-22,0,confirmed
Guinea-Bissau,11.8037,-15.1804,2020-01-22,0,confirmed
Guyana,4.860416000000002,-58.93018000000001,2020-01-22,0,confirmed
Haiti,18.9712,-72.2852,2020-01-22,0,confirmed
Holy See,41.9029,12.4534,2020-01-22,0,confirmed
Honduras,15.2,-86.2419,2020-01-22,0,confirmed
Hungary,47.1625,19.5033,2020-01-22,0,confirmed
Iceland,64.9631,-19.0208,2020-01-22,0,confirmed
India,20.593684,78.96288,2020-01-22,0,confirmed
Indonesia,-0.7893,113.9213,2020-01-22,0,confirmed
Iran,32.427908,53.68804599999999,2020-01-22,0,confirmed
Iraq,33.223191,43.679291,2020-01-22,0,confirmed
Ireland,53.1424,-7.6921,2020-01-22,0,confirmed
Israel,31.046051,34.851612,2020-01-22,0,confirmed
Italy,41.87194,12.56738,2020-01-22,0,confirmed
Jamaica,18.1096,-77.2975,2020-01-22,0,confirmed
Japan,36.204824,138.252924,2020-01-22,2,confirmed
Jordan,31.24,36.51,2020-01-22,0,confirmed
Kazakhstan,48.0196,66.9237,2020-01-22,0,confirmed
Kenya,-0.0236,37.9062,2020-01-22,0,confirmed
"Korea, South",35.90775700000001,127.766922,2020-01-22,1,confirmed
Kosovo,42.602636,20.902977,2020-01-22,0,confirmed
Kuwait,29.31166,47.481766,2020-01-22,0,confirmed
Kyrgyzstan,41.20438,74.766098,2020-01-22,0,confirmed
Laos,19.85627,102.495496,2020-01-22,0,confirmed
Latvia,56.8796,24.6032,2020-01-22,0,confirmed
Lebanon,33.8547,35.8623,2020-01-22,0,confirmed
Lesotho,-29.61,28.2336,2020-01-22,0,confirmed
Liberia,6.4280550000000005,-9.429499,2020-01-22,0,confirmed
Libya,26.3351,17.228331,2020-01-22,0,confirmed
Liechtenstein,47.14,9.55,2020-01-22,0,confirmed
Lithuania,55.1694,23.8813,2020-01-22,0,confirmed
Luxembourg,49.8153,6.1296,2020-01-22,0,confirmed
MS Zaandam,0,0,2020-01-22,0,confirmed
Madagascar,-18.766947,46.869107,2020-01-22,0,confirmed
Malawi,-13.2543,34.3015,2020-01-22,0,confirmed
Malaysia,4.210483999999999,101.975766,2020-01-22,0,confirmed
Maldives,3.2028,73.2207,2020-01-22,0,confirmed
Mali,17.570692,-3.996166000000001,2020-01-22,0,confirmed
Malta,35.9375,14.3754,2020-01-22,0,confirmed
Mauritania,21.0079,-10.9408,2020-01-22,0,confirmed
Mauritius,-20.348404,57.552152,2020-01-22,0,confirmed
Mexico,23.6345,-102.5528,2020-01-22,0,confirmed
Moldova,47.4116,28.3699,2020-01-22,0,confirmed
Monaco,43.7333,7.4167,2020-01-22,0,confirmed
Mongolia,46.8625,103.8467,2020-01-22,0,confirmed
Montenegro,42.708678000000006,19.374389999999998,2020-01-22,0,confirmed
Morocco,31.7917,-7.0926,2020-01-22,0,confirmed
Mozambique,-18.665695,35.529562,2020-01-22,0,confirmed
Namibia,-22.9576,18.4904,2020-01-22,0,confirmed
Nepal,28.1667,84.25,2020-01-22,0,confirmed
Netherlands,12.5211,-69.9683,2020-01-22,0,confirmed
Netherlands,12.1784,-68.2385,2020-01-22,0,confirmed
Netherlands,12.1696,-68.99,2020-01-22,0,confirmed
Netherlands,18.0425,-63.0548,2020-01-22,0,confirmed
Netherlands,52.1326,5.2913,2020-01-22,0,confirmed
New Zealand,-40.9006,174.886,2020-01-22,0,confirmed
